"title_id","primaryTitle","year","budget","domgross","intgross","budget_2013_infl","domgross_2013_infl","intgross_2013_infl","runtimeMinutes","averageRating","numVotes","genreComedy","genreAction","genreCrime","genreSciFi","genreBiography","genreDrama","genreHistory","genreThriller","genreSport","genreFantasy","genreRomance","genreAdventure","genreHorror","genreAnimation","genreMystery","genreFamily","genreWar","genreWestern","genreMusical","genreMusic","genreDocumentary","genreUndefined","genreAdult","num_female_producers","total_producers","pct_female_producers","num_female_castmembers","total_castmembers","pct_female_castmembers","num_female_directors","total_directors","pct_female_directors","num_female_writers","total_writers","pct_female_writers","test","bechdel_pass"
"tt0848537","Epic",2013,100000000,107518682,268418682,100000000,107518682,268418682,102,6.6,107199,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,6,0,"ok","True"
"tt0765446","Escape from Planet Earth",2013,40000000,57012977,66454811,40000000,57012977,66454811,89,5.8,26224,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,2,4,0.5,0,1,0,0,7,0,"ok","True"
"tt1211956","Escape Plan",2013,70000000,25213103,103813103,70000000,25213103,103813103,115,6.7,248590,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,1,0,0,2,0,"men","False"
"tt1288558","Evil Dead",2013,17000000,54239856,97402049,17000000,54239856,97402049,91,6.5,179146,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0.5,1,1,1,1,3,0.333333333333333,"ok","True"
"tt1905041","Fast & Furious 6",2013,160000000,238679850,788128122,160000000,238679850,788128122,130,7,400970,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,2,0,"ok","True"
"tt2294629","Frozen",2013,150000000,393050114,1004550114,150000000,393050114,1004550114,102,7.4,636664,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0.5,1,2,0.5,1,4,0.25,"ok","True"
"tt1583421","G.I. Joe: Retaliation",2013,140000000,122523060,371923060,140000000,122523060,371923060,110,5.7,183860,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,0.25,0,1,0,0,2,0,"ok","True"
"tt1321870","Gangster Squad",2013,60000000,46000903,104100903,60000000,46000903,104100903,113,6.7,218451,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4,0.25,0,1,0,0,2,0,"notalk","False"
"tt2425486","Gloria",2013,30000000,4167493,4967493,30000000,4167493,4967493,110,6.9,9111,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,4,0.5,0,1,0,0,2,0,"ok","True"
"tt1454468","Gravity",2013,110000000,271814796,708714796,110000000,271814796,708714796,91,7.7,838041,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0.25,0,1,0,0,2,0,"nowomen","False"
